refVideo,captureVideo,startFrame,endFrame,avgSSIM
Video003.mp4,Video003M3001.ts,3800,4549,0.865292
Video003.mp4,Video003M3001.ts,4550,5299,0.845522
Video003.mp4,Video003M3001.ts,5300,6049,0.874532
Video003.mp4,Video003M3001.ts,6050,6799,0.875898
Video004.mp4,Video004M3001.ts,100,849,0.87249
Video004.mp4,Video004M3001.ts,850,1599,0.910203
Video004.mp4,Video004M3001.ts,1600,2349,0.895832
Video004.mp4,Video004M3001.ts,2350,3099,0.873168
Video004.mp4,Video004M3001.ts,3100,3849,0.881897
Video004.mp4,Video004M3001.ts,3850,4599,0.961959
Video004.mp4,Video004M3001.ts,4600,5349,0.985567
Video004.mp4,Video004M3001.ts,5350,6099,0.964314
Video004.mp4,Video004M3001.ts,6100,6849,0.933731
Video004.mp4,Video004M3001.ts,6850,7599,0.889724
Video004.mp4,Video004M3001.ts,7600,8349,0.854789
Video004.mp4,Video004M3001.ts,8350,9099,0.860939
Video004.mp4,Video004M3001.ts,9100,9849,0.922003
Video004.mp4,Video004M3001.ts,9850,10599,0.938635
Video004.mp4,Video004M3001.ts,10600,11349,0.936618
Video004.mp4,Video004M3001.ts,11350,12099,0.917781
Video005.mp4,Video005M3001.ts,100,849,0.860326
Video005.mp4,Video005M3001.ts,850,1599,0.838411
Video005.mp4,Video005M3001.ts,1600,2349,0.823222
Video005.mp4,Video005M3001.ts,2350,3099,0.853211
Video005.mp4,Video005M3001.ts,3100,3849,0.840244
Video005.mp4,Video005M3001.ts,3850,4599,0.821986
Video005.mp4,Video005M3001.ts,4600,5349,0.834782
Video005.mp4,Video005M3001.ts,5350,6099,0.830881
Video005.mp4,Video005M3001.ts,6100,6849,0.914207
Video005.mp4,Video005M3001.ts,6850,7599,0.8803
Video005.mp4,Video005M3001.ts,7600,8349,0.861153
Video005.mp4,Video005M3001.ts,8350,9099,0.84542
Video005.mp4,Video005M3001.ts,9100,9849,0.829751
Video005.mp4,Video005M3001.ts,9850,10599,0.867188
Video005.mp4,Video005M3001.ts,10600,11349,0.855026
Video005.mp4,Video005M3001.ts,11350,12099,0.885437
Video006.mp4,Video006M3001.ts,150,899,0.86082
Video006.mp4,Video006M3001.ts,900,1649,0.882387
Video006.mp4,Video006M3001.ts,1650,2399,0.842233
Video006.mp4,Video006M3001.ts,2400,3149,0.901361
Video006.mp4,Video006M3001.ts,3150,3899,0.85141
Video006.mp4,Video006M3001.ts,3900,4649,0.916703
Video006.mp4,Video006M3001.ts,4650,5399,0.943243
Video006.mp4,Video006M3001.ts,5400,6149,0.916891
Video006.mp4,Video006M3001.ts,6150,6899,0.894926
Video007.mp4,Video007M3001.ts,200,949,0.891646
Video007.mp4,Video007M3001.ts,950,1699,0.959091
Video007.mp4,Video007M3001.ts,1700,2449,0.941029
Video007.mp4,Video007M3001.ts,2450,3199,0.917029
Video007.mp4,Video007M3001.ts,3200,3949,0.855829
Video007.mp4,Video007M3001.ts,3950,4699,0.934673
Video007.mp4,Video007M3001.ts,4700,5449,0.910506
Video007.mp4,Video007M3001.ts,5450,6199,0.873628
Video007.mp4,Video007M3001.ts,6200,6949,0.851191
Video007.mp4,Video007M3001.ts,6950,7699,0.903589
Video007.mp4,Video007M3001.ts,7700,8449,0.887851
Video008.mp4,Video008M3001.ts,150,899,0.869116
Video008.mp4,Video008M3001.ts,900,1649,0.902484
Video008.mp4,Video008M3001.ts,1650,2399,0.932778
Video008.mp4,Video008M3001.ts,2400,3149,0.913757
Video008.mp4,Video008M3001.ts,3150,3899,0.891406
Video008.mp4,Video008M3001.ts,3900,4649,0.876055
Video008.mp4,Video008M3001.ts,4650,5399,0.899027
Video008.mp4,Video008M3001.ts,5400,6149,0.959006
Video009.mp4,Video009M3001.ts,200,949,0.85856
Video009.mp4,Video009M3001.ts,950,1699,0.858295
Video009.mp4,Video009M3001.ts,1700,2449,0.919648
Video009.mp4,Video009M3001.ts,2450,3199,0.902179
Video009.mp4,Video009M3001.ts,3200,3949,0.891491
Video009.mp4,Video009M3001.ts,3950,4699,0.920044
Video009.mp4,Video009M3001.ts,4700,5449,0.919942
Video009.mp4,Video009M3001.ts,5450,6199,0.917743
Video010.mp4,Video010M3001.ts,100,849,0.921877
Video010.mp4,Video010M3001.ts,850,1599,0.904369
Video010.mp4,Video010M3001.ts,1600,2349,0.94015
Video010.mp4,Video010M3001.ts,2350,3099,0.906752
Video010.mp4,Video010M3001.ts,3100,3849,0.902337
Video010.mp4,Video010M3001.ts,3850,4599,0.901784
Video010.mp4,Video010M3001.ts,4600,5349,0.911694
Video010.mp4,Video010M3001.ts,5350,6099,0.838206
Video010.mp4,Video010M3001.ts,6100,6849,0.798216
Video010.mp4,Video010M3001.ts,6850,7599,0.898935
Video010.mp4,Video010M3001.ts,7600,8349,0.851214
